i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds,nfp_parts
0,0,0,0,"[[-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0]]","[[0.0, 0.0], [20.0, -10.0], [40.0, 0.0], [40.0, 30.0], [20.0, 40.0], [0.0, 30.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-40.0, 0.0, 40.0, 100.0]","[[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]]"
0,0,0,1,"[[-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0]]","[[40.0, 30.0], [20.0, 40.0], [0.0, 30.0], [0.0, 0.0], [20.0, -10.0], [40.0, 0.0], [40.0, 30.0]]","[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-40.0, 0.0, 40.0, 100.0]","[[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]]"
0,0,1,0,"[[20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0]]","[[0.0, 0.0], [20.0, -10.0], [40.0, 0.0], [40.0, 30.0], [20.0, 40.0], [0.0, 30.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-40.0, 0.0, 40.0, 100.0]","[[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]]"
0,0,1,1,"[[20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0]]","[[40.0, 30.0], [20.0, 40.0], [0.0, 30.0], [0.0, 0.0], [20.0, -10.0], [40.0, 0.0], [40.0, 30.0]]","[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-40.0, 0.0, 40.0, 100.0]","[[[0.0, 0.0], [40.0, 20.0], [40.0, 80.0], [0.0, 100.0], [-40.0, 80.0], [-40.0, 20.0]]]"
0,1,0,0,"[[-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0]]","[[0.0, 0.0], [30.0, 0.0], [20.0, 20.0], [30.0, 40.0], [30.0, 50.0], [10.0, 50.0], [-10.0, 30.0], [-10.0, 10.0], [0.0, 0.0]]","[[0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [60.0, 30.0], [60.0, 80.0], [50.0, 90.0], [30.0, 100.0], [0.0, 100.0], [-20.0, 90.0], [-20.0, 60.0], [-17.5, 55.0], [-20.0, 50.0], [-20.0, 10.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[5.0, 2.4999999999999996], [5.0, -2.5000000000000004]], [[], []], [[], []]]","[-20.0, 0.0, 60.0, 100.0]","[[[30.0, 100.0], [0.0, 100.0], [-20.0, 90.0], [-20.0, 60.0], [-17.5, 55.0]], [[-17.5, 55.0], [-20.0, 50.0], [-20.0, 10.0], [0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [60.0, 30.0], [60.0, 80.0], [50.0, 90.0], [30.0, 100.0]]]"
0,1,0,1,"[[-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0]]","[[20.0, 50.0], [-10.0, 50.0], [0.0, 30.0], [-10.0, 10.0], [-10.0, 0.0], [10.0, 0.0], [30.0, 20.0], [30.0, 40.0], [20.0, 50.0]]","[[0.0, 0.0], [30.0, 0.0], [50.0, 10.0], [50.0, 40.0], [47.5, 45.0], [50.0, 50.0], [50.0, 90.0], [30.0, 100.0], [10.0, 100.0], [-10.0, 90.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0]]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[-5.0, -2.4999999999999996], [-5.0, 2.5000000000000004]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-30.0, 0.0, 50.0, 100.0]","[[[0.0, 0.0], [30.0, 0.0], [50.0, 10.0], [50.0, 40.0], [47.5, 45.0]], [[47.5, 45.0], [50.0, 50.0], [50.0, 90.0], [30.0, 100.0], [10.0, 100.0], [-10.0, 90.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0], [0.0, 0.0]]]"
0,1,1,0,"[[20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0]]","[[0.0, 0.0], [30.0, 0.0], [20.0, 20.0], [30.0, 40.0], [30.0, 50.0], [10.0, 50.0], [-10.0, 30.0], [-10.0, 10.0], [0.0, 0.0]]","[[0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [60.0, 30.0], [60.0, 80.0], [50.0, 90.0], [30.0, 100.0], [0.0, 100.0], [-20.0, 90.0], [-20.0, 60.0], [-17.5, 55.0], [-20.0, 50.0], [-20.0, 10.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[5.0, 2.4999999999999996], [5.0, -2.5000000000000004]], [[], []], [[], []]]","[-20.0, 0.0, 60.0, 100.0]","[[[30.0, 100.0], [0.0, 100.0], [-20.0, 90.0], [-20.0, 60.0], [-17.5, 55.0]], [[-17.5, 55.0], [-20.0, 50.0], [-20.0, 10.0], [0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [60.0, 30.0], [60.0, 80.0], [50.0, 90.0], [30.0, 100.0]]]"
0,1,1,1,"[[20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0]]","[[20.0, 50.0], [-10.0, 50.0], [0.0, 30.0], [-10.0, 10.0], [-10.0, 0.0], [10.0, 0.0], [30.0, 20.0], [30.0, 40.0], [20.0, 50.0]]","[[0.0, 0.0], [30.0, 0.0], [50.0, 10.0], [50.0, 40.0], [47.5, 45.0], [50.0, 50.0], [50.0, 90.0], [30.0, 100.0], [10.0, 100.0], [-10.0, 90.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0]]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[-5.0, -2.4999999999999996], [-5.0, 2.5000000000000004]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-30.0, 0.0, 50.0, 100.0]","[[[0.0, 0.0], [30.0, 0.0], [50.0, 10.0], [50.0, 40.0], [47.5, 45.0]], [[47.5, 45.0], [50.0, 50.0], [50.0, 90.0], [30.0, 100.0], [10.0, 100.0], [-10.0, 90.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0], [0.0, 0.0]]]"
0,2,0,0,"[[-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0]]","[[0.0, 0.0], [20.0, 0.0], [30.0, 10.0], [30.0, 30.0], [20.0, 40.0], [0.0, 40.0], [-10.0, 30.0], [-10.0, 10.0], [0.0, 0.0]]","[[0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [50.0, 20.0], [50.0, 70.0], [40.0, 80.0], [20.0, 90.0], [0.0, 90.0], [-20.0, 80.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-30.0, 0.0, 50.0, 90.0]","[[[0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [50.0, 20.0], [50.0, 70.0], [40.0, 80.0], [20.0, 90.0], [0.0, 90.0], [-20.0, 80.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0]]]"
0,2,0,1,"[[-20.0, 10.0], [0.0, 0.0], [20.0, 10.0], [20.0, 40.0], [0.0, 50.0], [-20.0, 40.0], [-20.0, 10.0]]","[[20.0, 40.0], [0.0, 40.0], [-10.0, 30.0], [-10.0, 10.0], [0.0, 0.0], [20.0, 0.0], [30.0, 10.0], [30.0, 30.0], [20.0, 40.0]]","[[0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [50.0, 20.0], [50.0, 70.0], [40.0, 80.0], [20.0, 90.0], [0.0, 90.0], [-20.0, 80.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-30.0, 0.0, 50.0, 90.0]","[[[0.0, 0.0], [20.0, 0.0], [40.0, 10.0], [50.0, 20.0], [50.0, 70.0], [40.0, 80.0], [20.0, 90.0], [0.0, 90.0], [-20.0, 80.0], [-30.0, 70.0], [-30.0, 20.0], [-20.0, 10.0]]]"
