i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds,nfp_parts
0,0,0,0,"[[-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0], [0.0, 0.0], [60.0, 60.0], [-40.0, 160.0], [-20.0, 180.0], [-220.0, 180.0], [-240.0, 160.0]]","[[0.0, 160.0], [20.0, 140.0], [140.0, 100.0], [240.0, 0.0], [300.0, 60.0], [200.0, 160.0], [220.0, 180.0], [20.0, 180.0], [0.0, 160.0]]","[[0.0, 0.0], [200.0, 0.0], [280.0, 80.0], [180.0, 180.0], [200.0, 200.0], [180.0, 220.0], [60.0, 260.0], [-40.0, 360.0], [-240.0, 360.0], [-320.0, 280.0], [-220.0, 180.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0]","[[[], []], [[], []], [[], []], [[-100.0, -100.0], [-20.0, 20.0]], [[], []], [[], []], [[-40.00000000000001, -120.0], [-100.0, -100.0]], [[], []], [[], []], [[], []], [[100.0, 100.0], [20.0, -20.0]], [[], []], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]]]","[-320.0, 0.0, 280.0, 360.0]","[[[180.0, 180.0], [200.0, 200.0], [180.0, 220.0], [60.0, 260.0]], [[-100.0, 100.0], [0.0, 0.0], [200.0, 0.0], [280.0, 80.0], [180.0, 180.0], [60.0, 260.0]], [[-220.0, 180.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]], [[-100.0, 100.0], [60.0, 260.0], [-40.0, 360.0], [-240.0, 360.0], [-320.0, 280.0], [-220.0, 180.0]]]"
0,0,0,1,"[[-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0], [0.0, 0.0], [60.0, 60.0], [-40.0, 160.0], [-20.0, 180.0], [-220.0, 180.0], [-240.0, 160.0]]","[[300.0, 20.0], [280.0, 40.0], [160.0, 80.0], [60.0, 180.0], [0.0, 120.0], [100.0, 20.0], [80.0, 0.0], [280.0, 0.0], [300.0, 20.0]]","[[0.0, 0.0], [120.0, 120.0], [20.0, 220.0], [40.0, 240.0], [-60.0, 340.0], [-40.0, 360.0], [-440.0, 360.0], [-480.0, 320.0], [-440.0, 280.0], [-320.0, 240.0], [-220.0, 140.0], [-100.0, 100.0]]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0]","[[[], []], [[], []], [[-100.0, -100.0], [-20.0, 20.0]], [[], []], [[-100.0, -100.0], [-20.0, 20.0]], [[], []], [[], []], [[], []], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]]]","[-480.0, 0.0, 120.0, 360.0]","[[[-100.0, 100.0], [0.0, 0.0], [120.0, 120.0], [20.0, 220.0]], [[-320.0, 240.0], [-220.0, 140.0], [-100.0, 100.0], [20.0, 220.0], [40.0, 240.0], [-60.0, 340.0]], [[-60.0, 340.0], [-40.0, 360.0], [-440.0, 360.0], [-480.0, 320.0], [-440.0, 280.0], [-320.0, 240.0]]]"
0,0,1,0,"[[220.0, 20.0], [200.0, 40.0], [80.0, 80.0], [-20.0, 180.0], [-80.0, 120.0], [20.0, 20.0], [0.0, 0.0], [200.0, 0.0], [220.0, 20.0]]","[[0.0, 160.0], [20.0, 140.0], [140.0, 100.0], [240.0, 0.0], [300.0, 60.0], [200.0, 160.0], [220.0, 180.0], [20.0, 180.0], [0.0, 160.0]]","[[0.0, 0.0], [400.0, 0.0], [440.0, 40.0], [400.0, 80.0], [280.0, 120.0], [180.0, 220.0], [60.0, 260.0], [-40.0, 360.0], [-160.0, 240.0], [-60.0, 140.0], [-80.0, 120.0], [20.0, 20.0]]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]","[[[], []], [[], []], [[], []], [[], []], [[-40.00000000000001, -120.0], [-100.0, -100.0]], [[], []], [[-40.00000000000001, -120.0], [-100.0, -100.0]], [[], []], [[], []], [[100.0, 100.0], [20.0, -20.0]], [[], []], [[100.0, 100.0], [20.0, -20.0]]]","[-160.0, 0.0, 440.0, 360.0]","[[[400.0, 0.0], [440.0, 40.0], [400.0, 80.0], [280.0, 120.0]], [[60.0, 260.0], [-40.0, 360.0], [-160.0, 240.0], [-60.0, 140.0]], [[20.0, 20.0], [0.0, 0.0], [400.0, 0.0], [280.0, 120.0]], [[280.0, 120.0], [180.0, 220.0], [60.0, 260.0], [-60.0, 140.0], [-80.0, 120.0], [20.0, 20.0]]]"
0,0,1,1,"[[220.0, 20.0], [200.0, 40.0], [80.0, 80.0], [-20.0, 180.0], [-80.0, 120.0], [20.0, 20.0], [0.0, 0.0], [200.0, 0.0], [220.0, 20.0]]","[[300.0, 20.0], [280.0, 40.0], [160.0, 80.0], [60.0, 180.0], [0.0, 120.0], [100.0, 20.0], [80.0, 0.0], [280.0, 0.0], [300.0, 20.0]]","[[0.0, 0.0], [200.0, 0.0], [280.0, 80.0], [180.0, 180.0], [200.0, 200.0], [180.0, 220.0], [60.0, 260.0], [-40.0, 360.0], [-240.0, 360.0], [-320.0, 280.0], [-220.0, 180.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0]","[[[], []], [[], []], [[], []], [[-100.0, -100.0], [-20.0, 20.0]], [[], []], [[], []], [[-40.00000000000001, -120.0], [-100.0, -100.0]], [[], []], [[], []], [[], []], [[100.0, 100.0], [20.0, -20.0]], [[], []], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]]]","[-320.0, 0.0, 280.0, 360.0]","[[[180.0, 180.0], [200.0, 200.0], [180.0, 220.0], [60.0, 260.0]], [[-100.0, 100.0], [0.0, 0.0], [200.0, 0.0], [280.0, 80.0], [180.0, 180.0], [60.0, 260.0]], [[-220.0, 180.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]], [[-100.0, 100.0], [60.0, 260.0], [-40.0, 360.0], [-240.0, 360.0], [-320.0, 280.0], [-220.0, 180.0]]]"
0,1,0,0,"[[-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0], [0.0, 0.0], [60.0, 60.0], [-40.0, 160.0], [-20.0, 180.0], [-220.0, 180.0], [-240.0, 160.0]]","[[40.0, 240.0], [0.0, 0.0], [80.0, 0.0], [80.0, 20.0], [100.0, 20.0], [100.0, 0.0], [180.0, 0.0], [180.0, 40.0], [100.0, 240.0], [40.0, 240.0]]","[[0.0, 0.0], [60.0, 60.0], [100.0, 300.0], [14.285714285714292, 385.7142857142857], [20.0, 420.0], [-360.0, 420.0], [-380.0, 400.0], [-380.0, 360.0], [-300.0, 160.0], [-280.0, 140.0], [-160.0, 100.0], [-60.0, 0.0]]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[[[], []], [[], []], [[], []], [[-85.71428571428572, -85.71428571428571], [-34.28571428571428, 5.71428571428571]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]], [[], []]]","[-380.0, 0.0, 100.0, 420.0]","[[[-160.0, 100.0], [-60.0, 0.0], [0.0, 0.0], [60.0, 60.0], [100.0, 300.0], [14.285714285714292, 385.7142857142857]], [[14.285714285714292, 385.7142857142857], [20.0, 420.0], [-360.0, 420.0], [-380.0, 400.0], [-380.0, 360.0], [-300.0, 160.0], [-280.0, 140.0], [-160.0, 100.0]]]"
0,1,0,1,"[[-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0], [0.0, 0.0], [60.0, 60.0], [-40.0, 160.0], [-20.0, 180.0], [-220.0, 180.0], [-240.0, 160.0]]","[[140.0, 0.0], [180.0, 240.0], [100.0, 240.0], [100.0, 220.0], [80.0, 220.0], [80.0, 240.0], [0.0, 240.0], [0.0, 200.0], [80.0, 0.0], [140.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [90.0, 10.0], [100.0, 0.0], [180.0, 0.0], [240.0, 60.0], [240.0, 100.0], [160.0, 300.0], [106.66666666666666, 353.3333333333333], [79.99999999999999, 420.0], [-180.0, 420.0], [-200.0, 400.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]]","[1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[[[], []], [[], []], [[-10.0, 10.0], [10.0, 10.0]], [[], []], [[], []], [[], []], [[], []], [[], []], [[-53.333333333333314, -53.33333333333334], [-66.66666666666669, -26.666666666666668]], [[], []], [[], []], [[], []], [[], []], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]]]","[-240.0, 0.0, 240.0, 420.0]","[[[90.0, 10.0], [100.0, 0.0], [180.0, 0.0], [240.0, 60.0], [240.0, 100.0], [160.0, 300.0]], [[106.66666666666666, 353.3333333333333], [79.99999999999999, 420.0], [-180.0, 420.0]], [[-200.0, 400.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]], [[-100.0, 100.0], [0.0, 0.0], [80.0, 0.0], [90.0, 10.0], [160.0, 300.0], [106.66666666666666, 353.3333333333333], [-180.0, 420.0], [-200.0, 400.0]]]"
0,1,1,0,"[[220.0, 20.0], [200.0, 40.0], [80.0, 80.0], [-20.0, 180.0], [-80.0, 120.0], [20.0, 20.0], [0.0, 0.0], [200.0, 0.0], [220.0, 20.0]]","[[40.0, 240.0], [0.0, 0.0], [80.0, 0.0], [80.0, 20.0], [100.0, 20.0], [100.0, 0.0], [180.0, 0.0], [180.0, 40.0], [100.0, 240.0], [40.0, 240.0]]","[[200.0, 0.0], [220.0, 20.0], [260.0, 260.0], [240.0, 280.0], [120.0, 320.0], [20.0, 420.0], [-60.0, 420.0], [-70.0, 410.0], [-80.0, 420.0], [-160.0, 420.0], [-220.0, 360.0], [-220.0, 320.0], [-140.0, 120.0], [-86.66666666666666, 66.66666666666666], [-59.99999999999999, 0.0]]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","[[[], []], [[], []], [[], []], [[], []], [[-40.00000000000001, -120.0], [-100.0, -100.0]], [[], []], [[], []], [[10.0, -10.0], [-10.0, -10.0]], [[], []], [[], []], [[], []], [[], []], [[], []], [[53.33333333333334, 53.33333333333334], [66.66666666666666, 26.66666666666666]], [[], []]]","[-420.0, 0.0, 60.0, 420.0]","[[[20.0, 20.0], [60.0, 260.0], [40.0, 280.0], [-80.0, 320.0]], [[-270.0, 410.0], [-280.0, 420.0], [-360.0, 420.0], [-420.0, 360.0], [-420.0, 320.0], [-340.0, 120.0]], [[-286.66666666666663, 66.66666666666666], [-260.0, 0.0], [0.0, 0.0]], [[0.0, 0.0], [20.0, 20.0], [-80.0, 320.0], [-180.0, 420.0], [-260.0, 420.0], [-270.0, 410.0], [-340.0, 120.0], [-286.66666666666663, 66.66666666666666]]]"
0,1,1,1,"[[220.0, 20.0], [200.0, 40.0], [80.0, 80.0], [-20.0, 180.0], [-80.0, 120.0], [20.0, 20.0], [0.0, 0.0], [200.0, 0.0], [220.0, 20.0]]","[[140.0, 0.0], [180.0, 240.0], [100.0, 240.0], [100.0, 220.0], [80.0, 220.0], [80.0, 240.0], [0.0, 240.0], [0.0, 200.0], [80.0, 0.0], [140.0, 0.0]]","[[0.0, 0.0], [380.0, 0.0], [400.0, 20.0], [400.0, 60.0], [320.0, 260.0], [300.0, 280.0], [180.0, 320.0], [80.0, 420.0], [20.0, 420.0], [-40.0, 360.0], [-80.0, 120.0], [5.714285714285708, 34.28571428571428]]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[-40.00000000000001, -120.0], [-100.0, -100.0]], [[], []], [[], []], [[], []], [[], []], [[85.71428571428572, 85.71428571428571], [34.28571428571428, -5.71428571428571]]]","[-80.0, 0.0, 400.0, 420.0]","[[[180.0, 320.0], [80.0, 420.0], [20.0, 420.0], [-40.0, 360.0]], [[180.0, 320.0], [-40.0, 360.0], [-80.0, 120.0], [5.714285714285708, 34.28571428571428]], [[5.714285714285708, 34.28571428571428], [0.0, 0.0], [380.0, 0.0], [400.0, 20.0], [400.0, 60.0], [320.0, 260.0], [300.0, 280.0], [180.0, 320.0]]]"
0,2,0,0,"[[-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0], [0.0, 0.0], [60.0, 60.0], [-40.0, 160.0], [-20.0, 180.0], [-220.0, 180.0], [-240.0, 160.0]]","[[40.0, 480.0], [0.0, 360.0], [0.0, 120.0], [40.0, 0.0], [180.0, 0.0], [220.0, 120.0], [220.0, 360.0], [180.0, 480.0], [40.0, 480.0]]","[[0.0, 0.0], [60.0, 60.0], [100.0, 180.0], [100.0, 420.0], [60.0, 540.0], [0.0, 600.0], [-20.0, 660.0], [-360.0, 660.0], [-380.0, 640.0], [-420.0, 520.0], [-420.0, 280.0], [-380.0, 160.0], [-360.0, 140.0], [-240.0, 100.0], [-140.0, 0.0]]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[-60.00000000000001, -59.99999999999999], [-60.0, -19.999999999999996]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]], [[], []]]","[-420.0, 0.0, 100.0, 660.0]","[[[0.0, 600.0], [-20.0, 660.0], [-360.0, 660.0]], [[-420.0, 280.0], [-380.0, 160.0], [-360.0, 140.0], [-240.0, 100.0]], [[-240.0, 100.0], [-140.0, 0.0], [0.0, 0.0], [60.0, 60.0], [100.0, 180.0], [100.0, 420.0], [60.0, 540.0], [0.0, 600.0], [-360.0, 660.0], [-380.0, 640.0], [-420.0, 520.0], [-420.0, 280.0]]]"
0,2,0,1,"[[-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0], [0.0, 0.0], [60.0, 60.0], [-40.0, 160.0], [-20.0, 180.0], [-220.0, 180.0], [-240.0, 160.0]]","[[180.0, 0.0], [220.0, 120.0], [220.0, 360.0], [180.0, 480.0], [40.0, 480.0], [0.0, 360.0], [0.0, 120.0], [40.0, 0.0], [180.0, 0.0]]","[[0.0, 0.0], [140.0, 0.0], [200.0, 60.0], [240.0, 180.0], [240.0, 420.0], [200.0, 540.0], [140.0, 600.0], [120.0, 660.0], [-220.0, 660.0], [-240.0, 640.0], [-280.0, 520.0], [-280.0, 280.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[-60.00000000000001, -59.99999999999999], [-60.0, -19.999999999999996]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[40.00000000000001, 120.0], [100.0, 100.0]]]","[-280.0, 0.0, 240.0, 660.0]","[[[140.0, 600.0], [120.0, 660.0], [-220.0, 660.0]], [[-280.0, 280.0], [-240.0, 160.0], [-220.0, 140.0], [-100.0, 100.0]], [[-100.0, 100.0], [0.0, 0.0], [140.0, 0.0], [200.0, 60.0], [240.0, 180.0], [240.0, 420.0], [200.0, 540.0], [140.0, 600.0], [-220.0, 660.0], [-240.0, 640.0], [-280.0, 520.0], [-280.0, 280.0]]]"
