i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction
0,0,0,0,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [40.0, 40.0], [0.0, 80.0], [-40.0, 80.0], [-40.0, 40.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,0,0,1,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[40.0, 0.0], [40.0, 40.0], [0.0, 0.0], [40.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [80.0, 40.0], [40.0, 80.0], [0.0, 80.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,0,2,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[40.0, 40.0], [0.0, 40.0], [40.0, 0.0], [40.0, 40.0]]","[[0.0, 0.0], [80.0, 0.0], [0.0, 80.0]]","[1, 1, 1]","[[], [], []]"
0,0,0,3,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[40.0, 0.0], [40.0, 40.0], [0.0, 80.0], [-40.0, 40.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,1,0,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 80.0], [-40.0, 80.0], [-80.0, 40.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,1,1,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[40.0, 0.0], [40.0, 40.0], [0.0, 0.0], [40.0, 0.0]]","[[0.0, 0.0], [40.0, 40.0], [40.0, 80.0], [0.0, 80.0], [-40.0, 40.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,0,1,2,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[40.0, 40.0], [0.0, 40.0], [40.0, 0.0], [40.0, 40.0]]","[[40.0, 0.0], [40.0, 40.0], [0.0, 80.0], [-40.0, 40.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,1,3,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[0.0, 0.0], [0.0, 80.0], [-80.0, 0.0]]","[1, 1, 1]","[[], [], []]"
0,0,2,0,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 80.0], [-80.0, 80.0]]","[1, 1, 1]","[[], [], []]"
0,0,2,1,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[40.0, 0.0], [40.0, 40.0], [0.0, 0.0], [40.0, 0.0]]","[[0.0, 0.0], [40.0, 40.0], [40.0, 80.0], [-40.0, 80.0], [-40.0, 40.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,2,2,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[40.0, 40.0], [0.0, 40.0], [40.0, 0.0], [40.0, 40.0]]","[[0.0, 0.0], [40.0, 0.0], [40.0, 40.0], [0.0, 80.0], [-40.0, 80.0], [-40.0, 40.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,0,2,3,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[0.0, 0.0], [0.0, 80.0], [-40.0, 80.0], [-80.0, 40.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,3,0,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 40.0], [40.0, 80.0], [-40.0, 80.0], [-40.0, 40.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,3,1,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[40.0, 0.0], [40.0, 40.0], [0.0, 0.0], [40.0, 0.0]]","[[0.0, 0.0], [80.0, 80.0], [0.0, 80.0]]","[1, 1, 1]","[[], [], []]"
0,0,3,2,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[40.0, 40.0], [0.0, 40.0], [40.0, 0.0], [40.0, 40.0]]","[[0.0, 0.0], [40.0, 0.0], [80.0, 40.0], [40.0, 80.0], [0.0, 80.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,0,3,3,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[0.0, 0.0], [40.0, 40.0], [40.0, 80.0], [0.0, 80.0], [-40.0, 40.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,1,0,0,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [60.0, 0.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [40.0, 60.0], [0.0, 100.0], [-60.0, 100.0], [-60.0, 60.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,1,0,1,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[60.0, 0.0], [60.0, 60.0], [0.0, 0.0], [60.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [100.0, 60.0], [60.0, 100.0], [0.0, 100.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,0,2,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[60.0, 60.0], [0.0, 60.0], [60.0, 0.0], [60.0, 60.0]]","[[0.0, 0.0], [100.0, 0.0], [0.0, 100.0]]","[1, 1, 1]","[[], [], []]"
0,1,0,3,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 60.0], [0.0, 0.0], [60.0, 60.0], [0.0, 60.0]]","[[40.0, 0.0], [40.0, 60.0], [0.0, 100.0], [-60.0, 40.0], [-60.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,1,0,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [60.0, 0.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 100.0], [-60.0, 100.0], [-100.0, 60.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,1,1,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[60.0, 0.0], [60.0, 60.0], [0.0, 0.0], [60.0, 0.0]]","[[0.0, 0.0], [60.0, 60.0], [60.0, 100.0], [0.0, 100.0], [-40.0, 60.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,1,1,2,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[60.0, 60.0], [0.0, 60.0], [60.0, 0.0], [60.0, 60.0]]","[[60.0, 0.0], [60.0, 40.0], [0.0, 100.0], [-40.0, 60.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,1,3,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[0.0, 60.0], [0.0, 0.0], [60.0, 60.0], [0.0, 60.0]]","[[0.0, 0.0], [0.0, 100.0], [-100.0, 0.0]]","[1, 1, 1]","[[], [], []]"
0,1,2,0,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[0.0, 0.0], [60.0, 0.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 100.0], [-100.0, 100.0]]","[1, 1, 1]","[[], [], []]"
0,1,2,1,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[60.0, 0.0], [60.0, 60.0], [0.0, 0.0], [60.0, 0.0]]","[[0.0, 0.0], [60.0, 60.0], [60.0, 100.0], [-40.0, 100.0], [-40.0, 40.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,2,2,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[60.0, 60.0], [0.0, 60.0], [60.0, 0.0], [60.0, 60.0]]","[[0.0, 0.0], [60.0, 0.0], [60.0, 40.0], [0.0, 100.0], [-40.0, 100.0], [-40.0, 40.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,1,2,3,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[0.0, 60.0], [0.0, 0.0], [60.0, 60.0], [0.0, 60.0]]","[[0.0, 0.0], [0.0, 100.0], [-40.0, 100.0], [-100.0, 40.0], [-60.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,3,0,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[0.0, 0.0], [60.0, 0.0], [0.0, 60.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 40.0], [40.0, 100.0], [-60.0, 100.0], [-60.0, 60.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,3,1,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[60.0, 0.0], [60.0, 60.0], [0.0, 0.0], [60.0, 0.0]]","[[0.0, 0.0], [100.0, 100.0], [0.0, 100.0]]","[1, 1, 1]","[[], [], []]"
0,1,3,2,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[60.0, 60.0], [0.0, 60.0], [60.0, 0.0], [60.0, 60.0]]","[[0.0, 0.0], [60.0, 0.0], [100.0, 40.0], [40.0, 100.0], [0.0, 100.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,1,3,3,"[[0.0, 40.0], [0.0, 0.0], [40.0, 40.0], [0.0, 40.0]]","[[0.0, 60.0], [0.0, 0.0], [60.0, 60.0], [0.0, 60.0]]","[[0.0, 0.0], [40.0, 40.0], [40.0, 100.0], [0.0, 100.0], [-60.0, 40.0], [-60.0, 0.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,2,0,0,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [0.0, 80.0], [0.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [40.0, 80.0], [0.0, 120.0], [-80.0, 120.0], [-80.0, 80.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,2,0,1,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[80.0, 0.0], [80.0, 80.0], [0.0, 0.0], [80.0, 0.0]]","[[0.0, 0.0], [40.0, 0.0], [120.0, 80.0], [80.0, 120.0], [0.0, 120.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,2,0,2,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[80.0, 80.0], [0.0, 80.0], [80.0, 0.0], [80.0, 80.0]]","[[0.0, 0.0], [120.0, 0.0], [0.0, 120.0]]","[1, 1, 1]","[[], [], []]"
0,2,0,3,"[[0.0, 0.0], [40.0, 0.0], [0.0, 40.0], [0.0, 0.0]]","[[0.0, 80.0], [0.0, 0.0], [80.0, 80.0], [0.0, 80.0]]","[[40.0, 0.0], [40.0, 80.0], [0.0, 120.0], [-80.0, 40.0], [-80.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,2,1,0,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [80.0, 0.0], [0.0, 80.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 120.0], [-80.0, 120.0], [-120.0, 80.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,2,1,1,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[80.0, 0.0], [80.0, 80.0], [0.0, 0.0], [80.0, 0.0]]","[[0.0, 0.0], [80.0, 80.0], [80.0, 120.0], [0.0, 120.0], [-40.0, 80.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1, 1]","[[], [], [], [], [], []]"
0,2,1,2,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[80.0, 80.0], [0.0, 80.0], [80.0, 0.0], [80.0, 80.0]]","[[80.0, 0.0], [80.0, 40.0], [0.0, 120.0], [-40.0, 80.0], [-40.0, 0.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
0,2,1,3,"[[0.0, 0.0], [0.0, 40.0], [-40.0, 0.0], [0.0, 0.0]]","[[0.0, 80.0], [0.0, 0.0], [80.0, 80.0], [0.0, 80.0]]","[[0.0, 0.0], [0.0, 120.0], [-120.0, 0.0]]","[1, 1, 1]","[[], [], []]"
0,2,2,0,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[0.0, 0.0], [80.0, 0.0], [0.0, 80.0], [0.0, 0.0]]","[[0.0, 0.0], [0.0, 120.0], [-120.0, 120.0]]","[1, 1, 1]","[[], [], []]"
0,2,2,1,"[[0.0, 40.0], [-40.0, 40.0], [0.0, 0.0], [0.0, 40.0]]","[[80.0, 0.0], [80.0, 80.0], [0.0, 0.0], [80.0, 0.0]]","[[0.0, 0.0], [80.0, 80.0], [80.0, 120.0], [-40.0, 120.0], [-40.0, 40.0]]","[1, 1, 1, 1, 1]","[[], [], [], [], []]"
