i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction
0,0,0,0,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[10.0, 115.0], [478.0, 113.0], [727.0, 21.0], [856.0, 44.0], [930.0, 47.0], [1049.0, 0.0], [1097.0, 295.0], [1078.0, 396.0], [0.0, 407.0], [10.0, 115.0]]","[[0.0, 0.0], [48.0, 295.0], [38.0, 587.0], [19.0, 688.0], [-456.72533363750426, 692.8543401391582], [-698.0, 782.0], [-973.9594383775351, 784.8159126365055], [-1020.0, 803.0], [-2098.0, 814.0], [-2146.0, 519.0], [-2136.0, 227.0], [-2117.0, 126.0], [-1641.2746663624957, 121.14565986084179], [-1400.0, 32.0], [-1124.0405616224648, 29.18408736349454], [-1078.0, 11.0]]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[[], [], [], [], [[-4.854340139158269, -475.72533363750426], [-89.14565986084177, -241.27466636249574]], [], [[-2.815912636505476, -275.9594383775351], [-18.184087363494545, -46.04056162246491]], [], [], [], [], [], [[4.85434013915824, 475.72533363750426], [89.1456598608418, 241.27466636249574]], [], [[2.815912636505476, 275.9594383775352], [18.184087363494545, 46.04056162246479]], []]"
0,0,0,1,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[637.0, -335.0], [639.0, 133.0], [731.0, 382.0], [708.0, 511.0], [705.0, 585.0], [752.0, 704.0], [457.0, 752.0], [356.0, 733.0], [345.0, -345.0], [637.0, -335.0]]","[[0.0, 0.0], [101.0, 19.0], [149.0, 314.0], [160.0, 1392.0], [141.0, 1493.0], [-937.0, 1504.0], [-1229.0, 1494.0], [-1231.0, 1026.0], [-1323.0, 777.0], [-1314.5280944079389, 529.6203567118145], [-1344.0, 455.0], [-1334.0, 163.0], [-1039.0, 115.0], [-738.0187508811505, 113.71375534564594], [-617.0, 69.0], [-322.0, 21.0], [-229.9395083609463, 37.413886106187874]]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0]","[[], [], [], [], [], [], [], [[468.0, -2.000000000000029], [249.0, -92.00000000000001]], [], [[247.37964328818555, 8.471905592061132], [74.62035671181445, -29.47190559206115]], [], [], [], [[1.2862446543540826, 300.9812491188495], [44.71375534564594, 121.01875088115048]], [], [], [[-16.413886106187867, 92.06049163905371], [37.41388610618789, 229.9395083609463]]]"
0,0,0,2,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[1087.0, 292.0], [619.0, 294.0], [370.0, 386.0], [241.0, 363.0], [167.0, 360.0], [48.0, 407.0], [0.0, 112.0], [19.0, 11.0], [1097.0, 0.0], [1087.0, 292.0]]","[[-7.389644451905042e-13, 2.7000623958883807e-13], [96.0, 590.0], [58.0, 792.0], [-2098.0, 814.0], [-2078.0, 230.0], [-1610.0, 228.0], [-1361.0, 136.0], [-1089.2296166927108, 134.83858810552442], [-1039.0, 115.0], [-839.2658959537572, 114.14643545279384], [-644.0, 42.000000000000014], [-515.0, 65.00000000000001], [-448.39510258107214, 67.7001985440106], [-322.00000000000074, 21.000000000000284], [-193.00000000000074, 44.000000000000284], [-119.00000000000074, 47.000000000000284]]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[[], [], [], [], [], [[2.000000000000029, 468.0], [92.00000000000001, 249.0]], [], [[1.161411894475594, 271.7703833072892], [19.838588105524426, 50.229616692710806]], [], [[0.8535645472061739, 199.7341040462428], [72.14643545279384, 195.2658959537572]], [], [[-22.999999999999993, 129.0], [-2.700198544010586, 66.60489741892786]], [[-2.700198544010586, 66.60489741892786], [46.70019854401033, 126.3951025810714]], [], [[-22.999999999999993, 129.0], [-2.9999999999999956, 74.0]], [[-2.9999999999999956, 74.0], [47.00000000000002, 119.0]]]"
0,0,0,3,"[[-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-193.0, 44.0], [-119.0, 47.0], [0.0, 0.0], [48.0, 295.0], [29.0, 396.0], [-1049.0, 407.0], [-1039.0, 115.0]]","[[460.0, 742.0], [458.0, 274.0], [366.0, 25.0], [389.0, -104.0], [392.0, -178.0], [345.0, -297.0], [640.0, -345.0], [741.0, -326.0], [752.0, 752.0], [460.0, 742.0]]","[[0.0, 3.552713678800501e-15], [292.0, 10.0], [340.0, 305.0], [341.28624465435405, 605.9812491188495], [386.0, 727.0], [434.0, 1022.0], [417.5861138938121, 1114.0604916390537], [455.0, 1344.0], [436.0, 1445.0], [141.0, 1493.0], [-937.0, 1504.0], [-1038.0, 1485.0], [-1049.0, 407.0], [-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-74.6203567118144, 29.47190559206115]]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[[], [], [], [[-300.9812491188495, 1.2862446543540684], [-121.01875088115048, 44.71375534564596]], [], [], [[-92.06049163905368, -16.413886106187867], [-229.93950836094632, 37.41388610618789]], [], [], [], [], [], [], [], [[2.000000000000029, 468.0], [92.00000000000001, 249.0]], [], [[-8.471905592061136, 247.3796432881856], [29.47190559206115, 74.6203567118144]]]"
0,0,1,0,"[[292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [363.0, 856.0], [360.0, 930.0], [407.0, 1049.0], [112.0, 1097.0], [11.0, 1078.0], [0.0, 0.0], [292.0, 10.0]]","[[10.0, 115.0], [478.0, 113.0], [727.0, 21.0], [856.0, 44.0], [930.0, 47.0], [1049.0, 0.0], [1097.0, 295.0], [1078.0, 396.0], [0.0, 407.0], [10.0, 115.0]]","[[0.0, 0.0], [292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [377.52809440793885, 974.3796432881855], [407.0, 1049.0], [397.0, 1341.0], [102.0, 1389.0], [-198.98124911884952, 1390.286244654354], [-320.0, 1435.0], [-615.0, 1483.0], [-707.0604916390537, 1466.5861138938121], [-936.9999999999999, 1504.0], [-1038.0, 1485.0], [-1086.0, 1190.0], [-1097.0, 112.0], [-1078.0, 11.0]]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[[], [], [[-468.0, 2.000000000000029], [-249.0, 92.00000000000001]], [], [[-247.37964328818555, -8.471905592061132], [-74.62035671181445, 29.47190559206115]], [], [], [], [[-1.2862446543540684, -300.9812491188495], [-44.71375534564596, -121.01875088115048]], [], [], [[16.413886106187867, -92.06049163905368], [-37.41388610618789, -229.9395083609462]], [], [], [], [], []]"
0,0,1,1,"[[292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [363.0, 856.0], [360.0, 930.0], [407.0, 1049.0], [112.0, 1097.0], [11.0, 1078.0], [0.0, 0.0], [292.0, 10.0]]","[[637.0, -335.0], [639.0, 133.0], [731.0, 382.0], [708.0, 511.0], [705.0, 585.0], [752.0, 704.0], [457.0, 752.0], [356.0, 733.0], [345.0, -345.0], [637.0, -335.0]]","[[5.684341886080802e-14, 0.0], [292.0, 10.0], [393.0, 29.0], [397.8543401391582, 504.72533363750426], [487.0, 746.0], [489.81591263650546, 1021.9594383775351], [508.0, 1068.0], [519.0, 2146.0], [224.0, 2194.0], [-68.0, 2184.0], [-169.0, 2165.0], [-173.8543401391582, 1689.2746663624957], [-263.0, 1448.0], [-265.81591263650546, 1172.0405616224648], [-283.99999999999994, 1126.0], [-294.99999999999994, 48.0]]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[[], [], [], [[-475.72533363750426, 4.854340139158212], [-241.27466636249574, 89.14565986084183]], [], [[-275.9594383775351, 2.815912636505476], [-46.04056162246491, 18.184087363494545]], [], [], [], [], [], [[475.72533363750426, -4.85434013915824], [241.27466636249574, -89.1456598608418]], [], [[275.9594383775352, -2.815912636505476], [46.04056162246479, -18.184087363494488]], [], []]"
0,0,1,2,"[[292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [363.0, 856.0], [360.0, 930.0], [407.0, 1049.0], [112.0, 1097.0], [11.0, 1078.0], [0.0, 0.0], [292.0, 10.0]]","[[1087.0, 292.0], [619.0, 294.0], [370.0, 386.0], [241.0, 363.0], [167.0, 360.0], [48.0, 407.0], [0.0, 112.0], [19.0, 11.0], [1097.0, 0.0], [1087.0, 292.0]]","[[0.0, 0.0], [292.0, 10.0], [340.0, 305.0], [341.28624465435405, 605.9812491188495], [386.0, 727.0], [434.0, 1022.0], [417.5861138938121, 1114.0604916390537], [455.0, 1344.0], [436.0, 1445.0], [141.0, 1493.0], [-937.0, 1504.0], [-1038.0, 1485.0], [-1049.0, 407.0], [-1039.0, 115.0], [-571.0, 113.0], [-322.0, 21.0], [-74.6203567118144, 29.47190559206115]]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[[], [], [], [[-300.9812491188495, 1.2862446543540684], [-121.01875088115048, 44.71375534564596]], [], [], [[-92.06049163905368, -16.413886106187867], [-229.93950836094632, 37.41388610618789]], [], [], [], [], [], [], [], [[2.000000000000029, 468.0], [92.00000000000001, 249.0]], [], [[-8.471905592061136, 247.3796432881856], [29.471905592061155, 74.6203567118144]]]"
0,0,1,3,"[[292.0, 10.0], [294.0, 478.0], [386.0, 727.0], [363.0, 856.0], [360.0, 930.0], [407.0, 1049.0], [112.0, 1097.0], [11.0, 1078.0], [0.0, 0.0], [292.0, 10.0]]","[[460.0, 742.0], [458.0, 274.0], [366.0, 25.0], [389.0, -104.0], [392.0, -178.0], [345.0, -297.0], [640.0, -345.0], [741.0, -326.0], [752.0, 752.0], [460.0, 742.0]]","[[0.0, 0.0], [584.0, 20.0], [586.0, 488.0], [678.0, 737.0], [679.1614118944756, 1008.7703833072892], [699.0, 1059.0], [699.8535645472061, 1258.734104046243], [772.0, 1454.0], [749.0, 1583.0], [746.2998014559894, 1649.604897418928], [793.0, 1776.0], [770.0, 1905.0], [767.0, 1979.0], [814.0, 2098.0], [224.0, 2194.0], [22.0, 2156.0]]","[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[[], [], [[-468.0, 2.000000000000029], [-249.0, 92.00000000000001]], [], [[-271.7703833072892, 1.161411894475594], [-50.229616692710806, 19.838588105524426]], [], [[-199.73410404624292, 0.8535645472061455], [-195.26589595375708, 72.14643545279388]], [], [[-129.0, -22.999999999999993], [-66.60489741892798, -2.700198544010614]], [[-66.60489741892798, -2.700198544010614], [-126.39510258107202, 46.700198544010625]], [], [[-129.0, -22.999999999999993], [-74.0, -2.9999999999999956]], [[-74.0, -2.9999999999999956], [-119.0, 47.00000000000001]], [], [], []]"
0,0,2,0,"[[-10.0, 292.0], [-478.0, 294.0], [-727.0, 386.0], [-856.0, 363.0], [-930.0, 360.0], [-1049.0, 407.0], [-1097.0, 112.0], [-1078.0, 11.0], [0.0, 0.0], [-10.0, 292.0]]","[[10.0, 115.0], [478.0, 113.0], [727.0, 21.0], [856.0, 44.0], [930.0, 47.0], [1049.0, 0.0], [1097.0, 295.0], [1078.0, 396.0], [0.0, 407.0], [10.0, 115.0]]","[[0.0, 0.0], [-20.0, 584.0], [-488.0, 586.0], [-737.0, 678.0], [-1008.7703833072892, 679.1614118944756], [-1059.0, 699.0], [-1258.734104046243, 699.8535645472061], [-1454.0, 772.0], [-1583.0, 749.0], [-1649.604897418928, 746.2998014559894], [-1776.0, 793.0], [-1905.0, 770.0], [-1979.0, 767.0], [-2098.0, 814.0], [-2194.0, 224.0], [-2156.0, 22.0]]","[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[[], [], [[-2.000000000000029, -468.0], [-92.00000000000001, -249.0]], [], [[-1.161411894475594, -271.7703833072892], [-19.838588105524426, -50.229616692710806]], [], [[-0.8535645472061455, -199.73410404624292], [-72.14643545279388, -195.26589595375708]], [], [[22.999999999999993, -129.0], [2.700198544010614, -66.60489741892798]], [[2.700198544010614, -66.60489741892798], [-46.700198544010625, -126.39510258107202]], [], [[22.999999999999993, -129.0], [2.9999999999999956, -74.0]], [[2.9999999999999956, -74.0], [-47.00000000000001, -119.0]], [], [], []]"
0,0,2,1,"[[-10.0, 292.0], [-478.0, 294.0], [-727.0, 386.0], [-856.0, 363.0], [-930.0, 360.0], [-1049.0, 407.0], [-1097.0, 112.0], [-1078.0, 11.0], [0.0, 0.0], [-10.0, 292.0]]","[[637.0, -335.0], [639.0, 133.0], [731.0, 382.0], [708.0, 511.0], [705.0, 585.0], [752.0, 704.0], [457.0, 752.0], [356.0, 733.0], [345.0, -345.0], [637.0, -335.0]]","[[0.0, 0.0], [101.0, 19.0], [112.0, 1097.0], [102.0, 1389.0], [-366.0, 1391.0], [-615.0, 1483.0], [-862.3796432881855, 1474.5280944079389], [-937.0, 1504.0], [-1229.0, 1494.0], [-1277.0, 1199.0], [-1278.286244654354, 898.0187508811505], [-1323.0, 777.0], [-1371.0, 482.0], [-1354.5861138938121, 389.93950836094626], [-1392.0, 160.0], [-1373.0, 59.0], [-1078.0, 11.0]]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]","[[], [], [], [], [[-2.000000000000029, -468.0], [-92.00000000000001, -249.0]], [], [[8.471905592061132, -247.37964328818555], [-29.47190559206115, -74.62035671181445]], [], [], [], [[300.9812491188495, -1.2862446543540684], [121.01875088115048, -44.71375534564596]], [], [], [[92.06049163905374, 16.413886106187867], [229.93950836094626, -37.41388610618789]], [], [], []]"
