i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds,nfp_parts
0,0,0,0,"[[0.0, 0.0], [210.0, 0.0], [210.0, 220.0], [140.0, 280.0], [70.0, 280.0], [0.0, 220.0], [0.0, 0.0]]","[[0.0, 0.0], [210.0, 0.0], [210.0, 220.0], [140.0, 280.0], [70.0, 280.0], [0.0, 220.0], [0.0, 0.0]]","[[0.0, 0.0], [280.0, 0.0], [350.0, 60.0], [350.0, 500.0], [280.0, 560.0], [0.0, 560.0], [-70.0, 500.0], [-70.0, 60.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-70.0, 0.0, 350.0, 560.0]","[[[0.0, 0.0], [280.0, 0.0], [350.0, 60.0], [350.0, 500.0], [280.0, 560.0], [0.0, 560.0], [-70.0, 500.0], [-70.0, 60.0]]]"
0,0,0,1,"[[0.0, 0.0], [210.0, 0.0], [210.0, 220.0], [140.0, 280.0], [70.0, 280.0], [0.0, 220.0], [0.0, 0.0]]","[[245.0, 35.0], [245.0, 245.0], [25.0, 245.0], [-35.0, 175.0], [-35.0, 105.0], [25.0, 35.0], [245.0, 35.0]]","[[0.0, 0.0], [430.0, 0.0], [490.0, 70.0], [490.0, 360.0], [430.0, 430.0], [360.0, 490.0], [70.0, 490.0], [0.0, 430.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 490.0, 490.0]","[[[0.0, 0.0], [430.0, 0.0], [490.0, 70.0], [490.0, 360.0], [430.0, 430.0], [360.0, 490.0], [70.0, 490.0], [0.0, 430.0]]]"
0,0,0,2,"[[0.0, 0.0], [210.0, 0.0], [210.0, 220.0], [140.0, 280.0], [70.0, 280.0], [0.0, 220.0], [0.0, 0.0]]","[[210.0, 280.0], [0.0, 280.0], [0.0, 60.0], [70.0, 0.0], [140.0, 0.0], [210.0, 60.0], [210.0, 280.0]]","[[0.0, 0.0], [420.0, 0.0], [420.0, 440.0], [280.0, 560.0], [140.0, 560.0], [0.0, 440.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 420.0, 560.0]","[[[0.0, 0.0], [420.0, 0.0], [420.0, 440.0], [280.0, 560.0], [140.0, 560.0], [0.0, 440.0]]]"
0,0,0,3,"[[0.0, 0.0], [210.0, 0.0], [210.0, 220.0], [140.0, 280.0], [70.0, 280.0], [0.0, 220.0], [0.0, 0.0]]","[[-35.0, 245.0], [-35.0, 35.0], [185.0, 35.0], [245.0, 105.0], [245.0, 175.0], [185.0, 245.0], [-35.0, 245.0]]","[[210.0, 0.0], [210.0, 430.0], [140.0, 490.0], [-150.0, 490.0], [-220.0, 430.0], [-280.0, 360.0], [-280.0, 70.0], [-220.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-490.0, 0.0, 0.0, 490.0]","[[[0.0, 0.0], [0.0, 430.0], [-70.0, 490.0], [-360.0, 490.0], [-430.0, 430.0], [-490.0, 360.0], [-490.0, 70.0], [-430.0, 0.0]]]"
0,0,1,0,"[[0.0, 0.0], [0.0, 210.0], [-220.0, 210.0], [-280.0, 140.0], [-280.0, 70.0], [-220.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [210.0, 0.0], [210.0, 220.0], [140.0, 280.0], [70.0, 280.0], [0.0, 220.0], [0.0, 0.0]]","[[70.0, 0.0], [140.0, 60.0], [140.0, 490.0], [-290.0, 490.0], [-350.0, 420.0], [-350.0, 130.0], [-290.0, 60.0], [-220.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-420.0, 0.0, 70.0, 490.0]","[[[0.0, 0.0], [70.0, 60.0], [70.0, 490.0], [-360.0, 490.0], [-420.0, 420.0], [-420.0, 130.0], [-360.0, 60.0], [-290.0, 0.0]]]"
0,0,1,1,"[[0.0, 0.0], [0.0, 210.0], [-220.0, 210.0], [-280.0, 140.0], [-280.0, 70.0], [-220.0, 0.0], [0.0, 0.0]]","[[245.0, 35.0], [245.0, 245.0], [25.0, 245.0], [-35.0, 175.0], [-35.0, 105.0], [25.0, 35.0], [245.0, 35.0]]","[[220.0, 0.0], [280.0, 70.0], [280.0, 350.0], [220.0, 420.0], [-220.0, 420.0], [-280.0, 350.0], [-280.0, 70.0], [-220.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-500.0, 0.0, 60.0, 420.0]","[[[0.0, 0.0], [60.0, 70.0], [60.0, 350.0], [0.0, 420.0], [-440.0, 420.0], [-500.0, 350.0], [-500.0, 70.0], [-440.0, 0.0]]]"
0,0,1,2,"[[0.0, 0.0], [0.0, 210.0], [-220.0, 210.0], [-280.0, 140.0], [-280.0, 70.0], [-220.0, 0.0], [0.0, 0.0]]","[[210.0, 280.0], [0.0, 280.0], [0.0, 60.0], [70.0, 0.0], [140.0, 0.0], [210.0, 60.0], [210.0, 280.0]]","[[210.0, 0.0], [210.0, 430.0], [140.0, 490.0], [-150.0, 490.0], [-220.0, 430.0], [-280.0, 360.0], [-280.0, 70.0], [-220.0, 0.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-490.0, 0.0, 0.0, 490.0]","[[[0.0, 0.0], [0.0, 430.0], [-70.0, 490.0], [-360.0, 490.0], [-430.0, 430.0], [-490.0, 360.0], [-490.0, 70.0], [-430.0, 0.0]]]"
0,0,1,3,"[[0.0, 0.0], [0.0, 210.0], [-220.0, 210.0], [-280.0, 140.0], [-280.0, 70.0], [-220.0, 0.0], [0.0, 0.0]]","[[-35.0, 245.0], [-35.0, 35.0], [185.0, 35.0], [245.0, 105.0], [245.0, 175.0], [185.0, 245.0], [-35.0, 245.0]]","[[0.0, 0.0], [0.0, 420.0], [-440.0, 420.0], [-560.0, 280.0], [-560.0, 140.0], [-440.0, 0.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-560.0, 0.0, 0.0, 420.0]","[[[0.0, 0.0], [0.0, 420.0], [-440.0, 420.0], [-560.0, 280.0], [-560.0, 140.0], [-440.0, 0.0]]]"
0,0,2,0,"[[140.0, 280.0], [-70.0, 280.0], [-70.0, 60.0], [0.0, 0.0], [70.0, 0.0], [140.0, 60.0], [140.0, 280.0]]","[[0.0, 0.0], [210.0, 0.0], [210.0, 220.0], [140.0, 280.0], [70.0, 280.0], [0.0, 220.0], [0.0, 0.0]]","[[0.0, 0.0], [140.0, 0.0], [280.0, 120.0], [280.0, 560.0], [-140.0, 560.0], [-140.0, 120.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-140.0, 0.0, 280.0, 560.0]","[[[0.0, 0.0], [140.0, 0.0], [280.0, 120.0], [280.0, 560.0], [-140.0, 560.0], [-140.0, 120.0]]]"
0,0,2,1,"[[140.0, 280.0], [-70.0, 280.0], [-70.0, 60.0], [0.0, 0.0], [70.0, 0.0], [140.0, 60.0], [140.0, 280.0]]","[[245.0, 35.0], [245.0, 245.0], [25.0, 245.0], [-35.0, 175.0], [-35.0, 105.0], [25.0, 35.0], [245.0, 35.0]]","[[0.0, 0.0], [290.0, 0.0], [360.0, 60.0], [420.0, 130.0], [420.0, 420.0], [360.0, 490.0], [-70.0, 490.0], [-70.0, 60.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-70.0, 0.0, 420.0, 490.0]","[[[0.0, 0.0], [290.0, 0.0], [360.0, 60.0], [420.0, 130.0], [420.0, 420.0], [360.0, 490.0], [-70.0, 490.0], [-70.0, 60.0]]]"
