i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds
0,0,0,0,"[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [200.0, 0.0], [300.0, 100.0], [300.0, 300.0], [200.0, 400.0], [0.0, 400.0], [-100.0, 300.0], [-100.0, 100.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-100.0, 0.0, 300.0, 400.0]"
0,0,0,1,"[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0]]","[[0.0, 0.0], [200.0, 0.0], [300.0, 100.0], [300.0, 300.0], [200.0, 400.0], [0.0, 400.0], [-100.0, 300.0], [-100.0, 100.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-100.0, 0.0, 300.0, 400.0]"
0,0,1,0,"[[100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0]]","[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [200.0, 0.0], [300.0, 100.0], [300.0, 300.0], [200.0, 400.0], [0.0, 400.0], [-100.0, 300.0], [-100.0, 100.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-100.0, 0.0, 300.0, 400.0]"
0,0,1,1,"[[100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0]]","[[100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0]]","[[0.0, 0.0], [200.0, 0.0], [300.0, 100.0], [300.0, 300.0], [200.0, 400.0], [0.0, 400.0], [-100.0, 300.0], [-100.0, 100.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-100.0, 0.0, 300.0, 400.0]"
0,1,0,0,"[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [100.0, 200.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [150.0, 25.0], [200.0, 0.0], [300.0, 0.0], [350.0, 50.0], [350.0, 150.0], [320.0, 210.0], [350.0, 300.0], [350.0, 400.0], [300.0, 450.0], [200.0, 450.0], [150.0, 425.0], [100.0, 450.0], [0.0, 450.0], [-50.0, 400.0], [-50.0, 300.0], [-20.0, 240.0], [-50.0, 150.0], [-50.0, 50.0]]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[-24.999999999999996, 50.0], [25.000000000000004, 50.0]], [[], []], [[], []], [[], []], [[], []], [[-60.0, -29.999999999999996], [-90.0, 30.000000000000007]], [[], []], [[], []], [[], []], [[], []], [[24.999999999999996, -50.0], [-25.000000000000004, -50.0]], [[], []], [[], []], [[], []], [[], []], [[60.0, 29.999999999999996], [90.0, -30.000000000000007]], [[], []], [[], []]]","[-50.0, 0.0, 350.0, 450.0]"
0,1,0,1,"[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[200.0, 250.0], [100.0, 200.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0]]","[[0.0, 0.0], [100.0, 0.0], [150.0, 25.0], [200.0, 0.0], [300.0, 0.0], [350.0, 50.0], [350.0, 150.0], [320.0, 210.0], [350.0, 300.0], [350.0, 400.0], [300.0, 450.0], [200.0, 450.0], [150.0, 425.0], [100.0, 450.0], [0.0, 450.0], [-50.0, 400.0], [-50.0, 300.0], [-20.0, 240.0], [-50.0, 150.0], [-50.0, 50.0]]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[-24.999999999999996, 50.0], [25.000000000000004, 50.0]], [[], []], [[], []], [[], []], [[], []], [[-60.0, -29.999999999999996], [-90.0, 30.000000000000007]], [[], []], [[], []], [[], []], [[], []], [[24.999999999999996, -50.0], [-25.000000000000004, -50.0]], [[], []], [[], []], [[], []], [[], []], [[60.0, 29.999999999999996], [90.0, -30.000000000000007]], [[], []], [[], []]]","[-50.0, 0.0, 350.0, 450.0]"
0,1,1,0,"[[100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0]]","[[0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0], [100.0, 200.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [150.0, 25.0], [200.0, 0.0], [300.0, 0.0], [350.0, 50.0], [350.0, 150.0], [320.0, 210.0], [350.0, 300.0], [350.0, 400.0], [300.0, 450.0], [200.0, 450.0], [150.0, 425.0], [100.0, 450.0], [0.0, 450.0], [-50.0, 400.0], [-50.0, 300.0], [-20.0, 240.0], [-50.0, 150.0], [-50.0, 50.0]]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[-24.999999999999996, 50.0], [25.000000000000004, 50.0]], [[], []], [[], []], [[], []], [[], []], [[-60.0, -29.999999999999996], [-90.0, 30.000000000000007]], [[], []], [[], []], [[], []], [[], []], [[24.999999999999996, -50.0], [-25.000000000000004, -50.0]], [[], []], [[], []], [[], []], [[], []], [[60.0, 29.999999999999996], [90.0, -30.000000000000007]], [[], []], [[], []]]","[-50.0, 0.0, 350.0, 450.0]"
0,1,1,1,"[[100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0]]","[[200.0, 250.0], [100.0, 200.0], [0.0, 250.0], [50.0, 150.0], [0.0, 0.0], [100.0, 50.0], [200.0, 0.0], [150.0, 100.0], [200.0, 250.0]]","[[0.0, 0.0], [100.0, 0.0], [150.0, 25.0], [200.0, 0.0], [300.0, 0.0], [350.0, 50.0], [350.0, 150.0], [320.0, 210.0], [350.0, 300.0], [350.0, 400.0], [300.0, 450.0], [200.0, 450.0], [150.0, 425.0], [100.0, 450.0], [0.0, 450.0], [-50.0, 400.0], [-50.0, 300.0], [-20.0, 240.0], [-50.0, 150.0], [-50.0, 50.0]]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[-24.999999999999996, 50.0], [25.000000000000004, 50.0]], [[], []], [[], []], [[], []], [[], []], [[-60.0, -29.999999999999996], [-90.0, 30.000000000000007]], [[], []], [[], []], [[], []], [[], []], [[24.999999999999996, -50.0], [-25.000000000000004, -50.0]], [[], []], [[], []], [[], []], [[], []], [[60.0, 29.999999999999996], [90.0, -30.000000000000007]], [[], []], [[], []]]","[-50.0, 0.0, 350.0, 450.0]"
0,2,0,0,"[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [250.0, 0.0], [250.0, 250.0], [200.0, 250.0], [150.0, 150.0], [100.0, 100.0], [0.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [150.0, 0.0], [200.0, 50.0], [250.0, 150.0], [350.0, 200.0], [400.0, 250.0], [400.0, 400.0], [350.0, 450.0], [0.0, 450.0], [-50.0, 400.0], [-50.0, 50.0]]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[-100.0, 50.00000000000001], [-49.99999999999999, 100.0]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-50.0, 0.0, 400.0, 450.0]"
0,2,0,1,"[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[250.0, 250.0], [0.0, 250.0], [0.0, 0.0], [50.0, 0.0], [100.0, 100.0], [150.0, 150.0], [250.0, 200.0], [250.0, 250.0]]","[[0.0, 0.0], [350.0, 0.0], [400.0, 50.0], [400.0, 400.0], [350.0, 450.0], [200.0, 450.0], [150.0, 400.0], [100.0, 300.0], [0.0, 250.0], [-50.0, 200.0], [-50.0, 50.0]]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[100.0, -50.00000000000001], [49.99999999999999, -100.0]], [[], []], [[], []], [[], []]]","[-50.0, 0.0, 400.0, 450.0]"
