下料批次号,零件号,数量,外轮廓,允许旋转角度,面料号
L0005,s000001,1,"[[2000.0, 1000.0], [2000.0, 1064.3], [2763.1, 1064.3], [2763.1, 1000.0], [2000.0, 1000.0]]","0, 180",M0005
L0005,s000002,1,"[[2000.0, 2000.0], [2739.3, 1999.9], [2739.0, 1937.4], [2000.2, 1936.5], [2000.0, 2000.0]]","0, 180",M0005
L0005,s000003,1,"[[2000.0, 3000.0], [2022.1, 3021.6], [2064.2, 3019.4], [2063.4, 2979.8], [2022.2, 2978.2], [2000.0, 3000.0]]","0, 180",M0005
L0005,s000004,1,"[[4000.0, 1000.0], [3999.6, 1002.5], [3999.1, 1005.6], [3998.6, 1008.7], [3998.2, 1011.2], [3998.1, 1011.7], [3997.6, 1014.8], [3997.1, 1017.9], [3997.1, 1018.2], [3996.8, 1019.8], [3996.6, 1021.6], [3996.5, 1023.5], [3996.4, 1024.8], [3996.4, 1025.2], [3996.3, 1026.0], [3996.3, 1027.3], [3996.2, 1028.5], [3996.2, 1031.6], [3996.2, 1032.8], [3996.2, 1034.8], [3996.2, 1036.6], [3996.3, 1038.5], [3996.5, 1040.4], [3996.5, 1040.4], [3996.6, 1041.6], [3996.7, 1042.9], [3997.2, 1046.0], [3997.5, 1047.8], [3999.4, 1055.1], [4000.2, 1056.9], [4000.6, 1057.8], [4000.9, 1058.5], [4001.1, 1058.8], [4001.5, 1059.6], [4002.0, 1060.5], [4002.7, 1061.7], [4003.0, 1062.3], [4004.1, 1064.0], [4005.2, 1065.7], [4006.4, 1067.3], [4006.8, 1067.9], [4007.6, 1068.9], [4008.8, 1070.5], [4010.1, 1072.0], [4011.5, 1073.5], [4011.6, 1073.6], [4012.9, 1074.9], [4014.3, 1076.4], [4015.8, 1077.7], [4017.0, 1078.8], [4017.3, 1079.0], [4018.9, 1080.3], [4020.5, 1081.6], [4022.1, 1082.8], [4022.2, 1082.8], [4023.7, 1084.0], [4025.3, 1085.1], [4027.0, 1086.3], [4027.6, 1086.7], [4028.7, 1087.4], [4030.4, 1088.5], [4032.1, 1089.5], [4033.8, 1090.6], [4035.5, 1091.6], [4037.2, 1092.7], [4038.9, 1093.6], [4039.0, 1093.6], [4040.7, 1094.6], [4042.5, 1095.6], [4044.3, 1096.5], [4046.1, 1097.5], [4047.9, 1098.4], [4049.7, 1099.3], [4050.7, 1099.8], [4051.5, 1100.2], [4056.0, 1102.3], [4060.6, 1104.4], [4062.8, 1105.4], [4065.2, 1106.5], [4069.8, 1108.5], [4073.7, 1110.2], [4074.4, 1110.5], [4079.0, 1112.5], [4083.7, 1114.3], [4084.7, 1114.8], [4088.4, 1116.2], [4093.1, 1117.9], [4097.8, 1119.6], [4102.6, 1121.3], [4107.2, 1122.9], [4107.3, 1122.9], [4112.1, 1124.5], [4116.9, 1126.1], [4121.7, 1127.6], [4126.4, 1129.2], [4131.2, 1130.7], [4136.0, 1132.3], [4140.8, 1133.8], [4140.8, 1133.8], [4174.7, 1143.7], [4182.0, 1145.6], [4187.4, 1147.0], [4191.1, 1147.9], [4191.2, 1148.0], [4194.8, 1148.8], [4198.4, 1149.7], [4207.6, 1151.8], [4207.8, 1151.9], [4216.8, 1153.9], [4225.9, 1155.9], [4228.2, 1156.4], [4231.5, 1157.1], [4237.0, 1158.2], [4242.5, 1159.3], [4248.1, 1160.4], [4248.7, 1160.5], [4251.8, 1161.1], [4255.5, 1161.8], [4259.2, 1162.4], [4262.9, 1163.0], [4271.2, 1164.4], [4272.2, 1164.5], [4281.5, 1166.0], [4290.8, 1167.3], [4296.4, 1168.1], [4300.1, 1168.6], [4301.6, 1168.9], [4309.4, 1169.9], [4318.8, 1171.0], [4328.1, 1172.1], [4337.4, 1173.2], [4337.4, 1173.2], [4337.2, 1176.9], [4352.4, 1178.8], [4371.4, 1181.2], [4374.1, 1181.5], [4379.0, 1182.1], [4386.6, 1183.0], [4394.2, 1183.8], [4401.8, 1184.7], [4413.2, 1185.9], [4413.9, 1186.0], [4424.7, 1187.2], [4436.1, 1188.3], [4443.7, 1189.0], [4451.4, 1189.7], [4453.7, 1189.9], [4459.0, 1190.3], [4466.6, 1190.9], [4474.3, 1191.4], [4481.9, 1191.8], [4483.7, 1191.9], [4489.6, 1192.2], [4497.2, 1192.6], [4504.9, 1193.0], [4512.5, 1193.3], [4513.7, 1193.4], [4520.2, 1193.6], [4527.8, 1193.9], [4535.5, 1194.2], [4543.1, 1194.4], [4550.8, 1194.6], [4553.9, 1194.7], [4558.4, 1194.8], [4566.1, 1194.9], [4573.7, 1195.1], [4581.4, 1195.2], [4589.1, 1195.3], [4594.2, 1195.4], [4596.7, 1195.4], [4604.4, 1195.5], [4612.0, 1195.6], [4631.2, 1195.7], [4650.3, 1195.7], [4669.5, 1195.7], [4675.9, 1195.6], [4688.6, 1195.6], [4707.7, 1195.6], [4726.9, 1195.5], [4746.0, 1195.4], [4757.5, 1195.4], [4760.6, 1154.2], [4757.8, 1152.1], [4761.2, 1151.3], [4788.6, 1072.4], [4790.4, 1067.1], [4751.9, 1069.4], [4750.7, 1072.4], [4749.0, 1069.6], [4699.9, 1072.6], [4665.7, 1074.2], [4664.3, 1077.2], [4662.7, 1074.3], [4604.1, 1076.8], [4576.8, 1077.5], [4549.4, 1077.8], [4523.6, 1077.6], [4499.1, 1076.9], [4497.5, 1079.8], [4496.2, 1076.8], [4463.1, 1074.9], [4431.4, 1072.2], [4429.6, 1075.0], [4428.4, 1071.9], [4405.3, 1069.3], [4380.7, 1066.1], [4331.6, 1059.4], [4282.4, 1052.3], [4235.4, 1044.2], [4233.4, 1046.8], [4232.5, 1043.7], [4141.4, 1027.2], [4055.2, 1010.7], [4053.2, 1013.3], [4052.3, 1010.1], [4036.7, 1007.1], [4034.7, 1009.7], [4033.8, 1006.5], [4000.0, 1000.0]]","0, 180",M0005
L0005,s000005,1,"[[4000.0, 2000.0], [4030.0, 2021.0], [4093.8, 1998.8], [4091.4, 1984.4], [4090.8, 1981.3], [4087.6, 1979.8], [4090.8, 1978.3], [4091.4, 1975.2], [4093.8, 1960.8], [4030.0, 1938.6], [4000.0, 1959.6], [4013.4, 1978.3], [4017.4, 1979.8], [4013.4, 1981.3], [4000.0, 2000.0]]","0, 180",M0005
L0005,s000006,1,"[[4000.0, 3000.0], [4000.0, 3081.9], [4176.1, 3081.9], [4176.1, 3000.0], [4000.0, 3000.0]]","0, 180",M0005
L0005,s000007,1,"[[6000.0, 1000.0], [5999.3, 1004.3], [5998.4, 1009.7], [5997.6, 1015.1], [5996.9, 1020.2], [5996.9, 1020.6], [5996.2, 1026.0], [5995.7, 1030.4], [5995.5, 1031.4], [5995.2, 1034.7], [5994.9, 1038.0], [5994.8, 1040.2], [5994.8, 1040.6], [5994.7, 1042.3], [5994.7, 1044.5], [5994.7, 1046.7], [5994.7, 1046.7], [5994.7, 1048.9], [5994.8, 1051.1], [5994.9, 1052.7], [5995.0, 1054.4], [5995.2, 1056.6], [5995.5, 1058.7], [5995.5, 1058.7], [5995.8, 1060.9], [5996.0, 1062.0], [5996.2, 1063.1], [5996.4, 1064.1], [5996.5, 1064.7], [5996.7, 1065.2], [5996.9, 1066.3], [5997.3, 1067.3], [5997.6, 1068.3], [5997.7, 1068.5], [5998.0, 1069.4], [5998.3, 1070.4], [5998.7, 1071.4], [5999.1, 1072.3], [5999.6, 1073.4], [6000.5, 1075.4], [6001.5, 1077.4], [6002.6, 1079.3], [6002.7, 1079.5], [6003.6, 1081.2], [6004.8, 1083.1], [6006.0, 1084.9], [6007.2, 1086.7], [6008.0, 1087.9], [6008.5, 1088.5], [6009.1, 1089.4], [6009.8, 1090.3], [6011.1, 1091.8], [6011.2, 1092.0], [6012.6, 1093.6], [6013.3, 1094.4], [6014.1, 1095.2], [6014.4, 1095.5], [6014.9, 1096.0], [6015.7, 1096.8], [6017.3, 1098.2], [6018.9, 1099.7], [6019.2, 1099.9], [6020.6, 1101.0], [6022.4, 1102.4], [6024.3, 1103.8], [6025.0, 1104.4], [6027.7, 1106.3], [6029.5, 1107.5], [6029.6, 1107.5], [6031.3, 1108.7], [6033.2, 1109.8], [6035.1, 1110.9], [6035.1, 1111.0], [6037.0, 1112.0], [6038.9, 1113.1], [6040.8, 1114.2], [6042.8, 1115.2], [6044.7, 1116.2], [6045.5, 1116.5], [6046.7, 1117.1], [6048.7, 1118.1], [6050.6, 1119.0], [6052.6, 1119.9], [6054.7, 1120.7], [6056.3, 1121.4], [6056.7, 1121.6], [6059.7, 1122.8], [6062.8, 1124.1], [6064.8, 1124.8], [6066.4, 1125.4], [6066.9, 1125.6], [6068.9, 1126.4], [6074.1, 1128.2], [6076.6, 1129.0], [6079.2, 1130.0], [6084.4, 1131.7], [6089.6, 1133.4], [6094.9, 1135.1], [6098.4, 1136.2], [6100.1, 1136.7], [6105.3, 1138.3], [6110.6, 1139.8], [6115.9, 1141.3], [6119.0, 1142.1], [6120.4, 1142.5], [6121.2, 1142.7], [6126.5, 1144.0], [6131.8, 1145.2], [6135.6, 1146.0], [6137.2, 1146.4], [6142.5, 1147.5], [6147.9, 1148.6], [6150.8, 1149.2], [6153.2, 1149.7], [6158.6, 1150.8], [6164.0, 1151.8], [6169.4, 1152.8], [6174.8, 1153.7], [6180.1, 1154.7], [6181.4, 1154.9], [6185.5, 1155.6], [6190.9, 1156.5], [6196.3, 1157.4], [6201.7, 1158.3], [6207.2, 1159.1], [6212.6, 1160.0], [6215.4, 1160.4], [6218.0, 1160.8], [6223.4, 1161.6], [6228.8, 1162.3], [6234.2, 1163.1], [6239.7, 1163.8], [6245.1, 1164.6], [6249.4, 1165.2], [6283.5, 1169.3], [6317.6, 1173.1], [6379.2, 1179.0], [6381.9, 1182.3], [6413.7, 1186.4], [6460.5, 1191.8], [6515.6, 1196.2], [6548.4, 1197.5], [6581.3, 1198.6], [6738.4, 1198.6], [6745.2, 1165.5], [6772.1, 1094.8], [6820.1, 1092.9], [6807.9, 1035.8], [6740.0, 1044.0], [6706.0, 1047.9], [6673.4, 1051.1], [6672.2, 1054.2], [6670.5, 1051.3], [6639.4, 1053.0], [6617.0, 1053.2], [6596.0, 1052.8], [6594.4, 1055.7], [6593.1, 1052.6], [6584.9, 1051.9], [6575.4, 1050.5], [6573.6, 1050.3], [6571.4, 1049.9], [6569.1, 1049.5], [6566.9, 1049.1], [6566.9, 1049.1], [6564.6, 1048.7], [6562.4, 1048.1], [6560.2, 1047.6], [6558.4, 1047.0], [6558.0, 1046.9], [6555.9, 1046.2], [6553.7, 1045.5], [6553.4, 1045.3], [6551.6, 1044.6], [6549.5, 1043.8], [6548.4, 1043.3], [6547.4, 1042.8], [6545.4, 1041.8], [6543.7, 1040.9], [6543.4, 1040.8], [6541.4, 1039.6], [6540.2, 1038.9], [6539.1, 1038.2], [6539.1, 1038.2], [6538.4, 1037.7], [6537.6, 1037.1], [6536.9, 1036.5], [6536.2, 1036.0], [6536.0, 1035.8], [6535.2, 1035.1], [6534.2, 1034.1], [6533.2, 1033.2], [6533.1, 1033.1], [6532.6, 1032.5], [6531.9, 1031.9], [6531.3, 1031.2], [6530.4, 1030.2], [6530.4, 1030.2], [6529.6, 1029.1], [6528.7, 1028.0], [6528.2, 1027.3], [6528.1, 1027.1], [6527.7, 1026.5], [6527.2, 1025.8], [6526.8, 1025.0], [6526.3, 1024.2], [6525.7, 1023.1], [6525.2, 1022.2], [6524.6, 1021.0], [6524.0, 1019.8], [6523.7, 1019.0], [6523.4, 1018.5], [6523.1, 1017.7], [6522.7, 1016.8], [6522.4, 1016.0], [6522.1, 1015.1], [6521.9, 1014.7], [6521.8, 1014.3], [6521.4, 1013.0], [6521.0, 1011.7], [6520.8, 1010.8], [6520.6, 1010.3], [6520.5, 1009.9], [6520.3, 1009.0], [6520.1, 1008.1], [6519.7, 1005.9], [6519.4, 1004.3], [6519.3, 1003.6], [6519.0, 1001.4], [6518.8, 999.1], [6518.7, 998.2], [6518.2, 992.1], [6518.2, 987.5], [6515.3, 985.9], [6518.4, 984.5], [6519.4, 969.4], [6521.2, 952.8], [6525.9, 919.8], [6434.7, 926.8], [6430.0, 941.6], [6422.2, 966.4], [6421.2, 969.4], [6419.9, 973.3], [6418.7, 977.1], [6417.3, 980.9], [6416.0, 984.8], [6415.7, 985.6], [6414.6, 988.5], [6413.2, 992.3], [6412.0, 995.1], [6411.6, 996.1], [6410.1, 999.8], [6408.5, 1003.5], [6408.0, 1004.5], [6406.8, 1007.2], [6405.8, 1009.4], [6404.7, 1011.5], [6404.3, 1012.4], [6403.6, 1013.7], [6402.9, 1015.1], [6402.1, 1016.6], [6401.3, 1018.0], [6400.1, 1020.0], [6400.1, 1020.1], [6398.8, 1022.1], [6397.5, 1024.2], [6396.1, 1026.2], [6395.4, 1027.2], [6395.2, 1027.5], [6394.2, 1028.8], [6392.7, 1030.7], [6390.8, 1032.8], [6391.9, 1036.0], [6388.7, 1034.8], [6384.5, 1038.2], [6378.8, 1041.8], [6377.0, 1042.7], [6374.9, 1043.8], [6372.7, 1044.9], [6372.6, 1044.9], [6371.8, 1045.3], [6371.0, 1045.7], [6370.1, 1046.0], [6369.2, 1046.4], [6368.3, 1046.7], [6367.4, 1047.1], [6366.2, 1047.5], [6366.0, 1047.6], [6364.6, 1048.0], [6363.2, 1048.4], [6361.8, 1048.8], [6360.4, 1049.1], [6360.1, 1049.2], [6359.4, 1049.3], [6358.5, 1049.4], [6357.5, 1049.6], [6355.1, 1049.9], [6353.7, 1050.0], [6338.2, 1050.5], [6322.6, 1050.3], [6280.0, 1045.4], [6238.9, 1040.1], [6237.1, 1042.9], [6236.1, 1039.7], [6187.1, 1031.8], [6136.8, 1023.2], [6037.7, 1005.9], [6035.8, 1008.5], [6034.8, 1005.4], [6000.0, 1000.0]]","0, 180",M0005
L0005,s000008,1,"[[6000.0, 2000.0], [6000.0, 2068.8], [6196.6, 2068.8], [6196.6, 2000.0], [6000.0, 2000.0]]","0, 180",M0005
L0005,s000009,1,"[[6000.0, 3000.0], [5990.9, 2999.2], [5979.5, 2998.2], [5968.1, 2997.2], [5956.7, 2996.3], [5953.6, 2996.0], [5949.8, 2995.7], [5943.0, 2995.3], [5936.1, 2994.8], [5929.3, 2994.4], [5926.6, 2994.3], [5924.7, 2994.2], [5913.3, 2993.6], [5901.9, 2993.1], [5899.6, 2993.0], [5867.8, 2992.4], [5836.1, 2992.1], [5809.9, 2992.1], [5808.5, 2995.0], [5806.9, 2992.2], [5778.9, 2994.0], [5777.8, 3021.2], [5767.6, 3021.4], [5763.4, 3071.8], [5990.8, 3112.6], [5996.5, 3043.2], [5996.6, 3042.8], [5993.8, 3041.0], [5996.8, 3039.8], [6000.0, 3000.0]]","0, 180",M0005
L0005,s000010,1,"[[8000.0, 1000.0], [8000.4, 1068.9], [8174.0, 1068.6], [8173.9, 1000.1], [8000.0, 1000.0]]","0, 180",M0005
